model mu Z Age M(*+remn) F275_wfc3 F336_WFC3 F435W_WFC F475W_WFC F555W_WFC F606W_WFC F775W_WFC F502N_WFC F550M_WFC F658N_WFC F660N_WFC F439W_WFPC2 F555W_WFPC2 F675W_WFPC2
Ebi0.30Zm2.27T12.0000_iTp0.00_baseFe.fits 1.30 -2.27000 12.00000 0.32890 9.83752 9.16579 9.20705 9.01434 8.69774 8.49451 7.85772 8.86311 8.58944 8.07450 8.11800 9.24173 8.75295 8.13149
Ebi0.30Zm2.27T12.5000_iTp0.00_baseFe.fits 1.30 -2.27000 12.50000 0.32860 9.88755 9.21944 9.26636 9.07190 8.75295 8.54873 7.91049 8.91949 8.64395 8.12702 8.17067 9.30148 8.80852 8.18451
Ebi0.30Zm2.27T13.0000_iTp0.00_baseFe.fits 1.30 -2.27000 13.00000 0.32830 9.94559 9.27227 9.32014 9.12325 8.80116 8.59569 7.95695 8.96911 8.69121 8.17190 8.21581 9.35577 8.85722 8.23017
Ebi0.30Zm2.27T13.5000_iTp0.00_baseFe.fits 1.30 -2.27000 13.50000 0.32800 9.98248 9.31519 9.36953 9.17047 8.84525 8.63823 7.99680 9.01483 8.73435 8.21190 8.25624 9.40578 8.90178 8.27058
Ebi0.30Zm2.27T14.0000_iTp0.00_baseFe.fits 1.30 -2.27000 14.00000 0.32770 10.01903 9.35813 9.41845 9.21725 8.88882 8.68022 8.03614 9.06004 8.77687 8.25107 8.29592 9.45536 8.94585 8.31045
Ebi0.30Zm1.79T00.0300_iTp0.00_baseFe.fits 1.30 -1.79000 0.03000 0.43880 0.67445 1.12734 2.20700 2.27931 2.33285 2.34030 2.34942 2.34953 2.35677 2.26164 2.31060 2.23464 2.32855 2.35463
Ebi0.30Zm1.79T00.0400_iTp0.00_baseFe.fits 1.30 -1.79000 0.04000 0.42310 1.15466 1.55741 2.54352 2.60604 2.64743 2.64807 2.63140 2.66760 2.66550 2.56427 2.60522 2.56883 2.64497 2.64714
Ebi0.30Zm1.79T00.0500_iTp0.00_baseFe.fits 1.30 -1.79000 0.05000 0.41300 1.51389 1.89440 2.81255 2.86782 2.90047 2.89588 2.85549 2.92282 2.91441 2.80785 2.84285 2.83607 2.89929 2.88341
Ebi0.30Zm1.79T00.0600_iTp0.00_baseFe.fits 1.30 -1.79000 0.06000 0.41300 1.77957 2.14909 3.01810 3.06643 3.08998 3.08034 3.02062 3.11524 3.10023 2.98524 3.01749 3.04056 3.09022 3.05694
Ebi0.30Zm1.79T00.0700_iTp0.00_baseFe.fits 1.30 -1.79000 0.07000 0.40040 2.00710 2.37621 3.19287 3.23002 3.23572 3.21400 3.10876 3.26886 3.23820 3.09725 3.12832 3.21467 3.23894 3.16450
Ebi0.30Zm1.79T00.0800_iTp0.00_baseFe.fits 1.30 -1.79000 0.08000 0.40040 2.18692 2.54819 3.31361 3.33546 3.31402 3.26967 3.06024 3.36106 3.30427 3.10813 3.14132 3.33546 3.32163 3.16896
